seq,first name,last name,age,street,city,state,zip,dollar,pick,date

1,Katharine,Marsh,31,Tuhan Glen,Gudiwfa,AK,39.645,$9698.54,GREEN,02/05/1955
2,Glenn,Kelley,54,Jovu Avenue,Rerpetjev,NH,42.408,$2371.64,GREEN,04/08/2038
3,Nelle,Briggs,40,Iwoke View,Dardocret,RI,9.789,$3092.06,WHITE,06/10/2036
4,Alan,Briggs,40,Nahcu Highway,Jehatapo,NC,83.276,$1175.35,GREEN,04/05/2022
5,Jose,Sharp,18,Taral Junction,Robiwco,HI,15.449,$3273.58,GREEN,07/20/1942
6,Lily,Holloway,35,Bapfe Mill,Gepefeka,OR,68.346,$6702.15,WHITE,11/11/2017
7,Seth,Bowers,49,Lizez Avenue,Tarotlez,RI,96.243,$9685.84,YELLOW,08/24/1989
8,George,Harper,47,Bereh Park,Jiiwuvo,MO,45.439,$9498.31,GREEN,02/08/2035
9,Tommy,Fletcher,35,Ceti View,Daragma,WA,20.275,$9577.58,RED,05/09/2009
10,Linnie,Stanley,48,Vopof Terrace,Zeslolbin,UT,10.035,$1064.85,GREEN,04/26/1932
11,Betty,Copeland,30,Usahu Circle,Riikipe,NY,96.987,$9804.74,BLUE,01/10/2024
12,Lottie,Coleman,56,Acbu Loop,Baecahas,AK,295,$5952.32,YELLOW,03/12/1916
13,Gene,Baker,22,Tuapi Pass,Jokjejkov,IL,78.186,$9928.23,YELLOW,10/23/1970
14,Eliza,French,54,Baga Turnpike,Voazla,KS,93.376,$7019.22,YELLOW,02/26/1902
15,Victoria,Moran,53,Cecid River,Zeenubiz,OR,29.547,$6761.91,BLUE,06/15/2015
16,Scott,Rodriguez,53,Cogalo Heights,Ducago,GA,7.129,$6912.20,WHITE,12/05/2064
17,Alan,Carter,22,Iduup Plaza,Lovzifhil,LA,33.191,$9053.54,GREEN,05/08/1999
18,Teresa,Stewart,50,Miblel Park,Unuluiw,VA,90.509,$9328.66,BLUE,03/20/2069
19,Della,Hamilton,31,Gosju Terrace,Ipifadha,ME,91.341,$4750.01,BLUE,06/06/2026
20,Augusta,Beck,41,Sagfo Plaza,Nafolez,NH,17.225,$34.34,BLUE,05/15/1970
21,Isabella,Summers,45,Tozfoz View,Satasa,AL,35.893,$8296.74,YELLOW,02/17/1938
22,Andre,Hoffman,38,Wolaw Court,Vakjeele,MA,55.057,$9553.24,RED,08/07/2046
23,Amelia,Armstrong,64,Hetce Parkway,Ninapkip,ND,9.682,$7588.92,YELLOW,10/14/1990
24,Lillian,Myers,23,Hecok Road,Umfawna,OK,32.286,$117.64,BLUE,01/11/1965
25,Ronnie,Warren,32,Livaca Trail,Vomovuadu,MT,72.148,$8920.44,WHITE,05/14/1916
26,Olivia,Jackson,36,Muez Park,Jefmeka,ND,70.093,$1470.57,YELLOW,02/08/2013
27,Jordan,Davis,56,Onaka View,Kubucfed,AL,83.084,$2808.87,BLUE,12/15/1923
28,Alice,Lee,43,Kakna Manor,Mokelfo,GA,91.306,$8170.40,WHITE,09/14/2009
29,William,Todd,26,Goodi Way,Wuwice,SD,4.540,$4408.91,GREEN,10/31/1915
30,Billy,Vaughn,22,Ninag Heights,Ikulisgaf,IN,73.612,$475.21,BLUE,12/08/2050
31,Gertrude,Mann,65,Ruto Point,Dewovwe,MA,86.000,$9088.67,YELLOW,09/07/1942
32,Rosalie,Stanley,60,Silahe River,Imaizpe,UT,67.020,$4236.86,YELLOW,04/26/2070
33,Jimmy,Black,32,Kakhub Path,Ericusik,KY,81.203,$1040.84,RED,08/04/1901
34,Estelle,Wood,33,Lukfol Parkway,Ontupjo,AK,95.470,$3719.03,YELLOW,02/23/1944
35,Cynthia,Franklin,54,Vefet Plaza,Duwacus,OK,21.647,$8438.55,RED,04/08/1992
36,Isaiah,Roberts,43,Juzbus Path,Davaaje,VA,32.820,$3517.18,GREEN,12/03/1908
37,Virgie,Benson,18,Vosom Ridge,Jokofwen,IN,27.917,$8798.83,GREEN,07/06/2022
38,Theodore,Graves,62,Cahewu River,Pozihur,RI,90.720,$6528.35,GREEN,02/05/1956
39,Birdie,Bishop,61,Purmu View,Wifgucgit,FL,5.180,$4536.26,BLUE,12/29/1904
40,Maggie,Briggs,34,Covu Junction,Ulemekci,MD,45.056,$584.92,WHITE,08/14/2040
41,Joshua,Griffin,23,Hije Parkway,Onsupsi,MD,57.100,$4170.93,WHITE,10/18/2067
42,Myrtle,Foster,29,Gada Park,Jobubve,MS,77.886,$2371.78,YELLOW,07/08/1915
43,Isaac,Benson,33,Ijkuc Place,Kopepu,IN,59.337,$4502.27,WHITE,12/12/1995
44,Jim,Russell,20,Enubip Trail,Tatgobhu,NC,86.530,$8747.27,YELLOW,08/10/2068
45,Erik,Reid,48,Egnip Lane,Ekvage,WI,5.017,$1767.54,YELLOW,08/29/2013
46,Ina,Hines,43,Bihoc Grove,Luvaffi,NC,41.321,$4833.48,YELLOW,09/16/2045
47,Katherine,Newton,28,Titpam Mill,Ebipakij,MI,38.209,$7840.01,GREEN,08/14/2068
48,Theodore,Murphy,19,Paih Lane,Rogafsoj,CT,14.898,$7037.10,BLUE,04/19/1904
49,Cameron,Sandoval,52,Ijihi View,Necozi,ND,67.746,$3104.87,GREEN,12/31/1903
50,Ray,Hampton,21,Cukuk Pike,Omugej,CT,72.249,$2156.94,GREEN,11/13/2043
51,Ruby,Hardy,35,Musdo Square,Wiegecu,MD,84.616,$7270.03,RED,11/30/1914
52,Jean,Atkins,63,Bude Key,Caguzac,AZ,77.583,$6277.66,RED,11/14/2014
53,Amy,Tate,38,Jetde Way,Kotmewvi,TX,52.137,$1661.37,BLUE,06/10/2040
54,Katharine,Marsh,50,Ehdip Terrace,Ruurha,NE,1.430,$1555.10,WHITE,02/17/2021
55,Bessie,Lowe,28,Komfid Lane,Anubisata,IN,55.238,$7725.73,YELLOW,05/30/1975
56,Nathan,Robinson,61,Orwu Way,Jadoug,RI,50.175,$6045.48,GREEN,05/21/1999
57,Celia,Fitzgerald,64,Abeab Plaza,Muzivniv,AR,36.225,$635.21,GREEN,08/26/1997
58,Luis,Johnston,42,Halal Point,Hezabil,NM,97.173,$2523.28,WHITE,07/03/2033
59,Ray,Wells,41,Pehuj Pass,Diroje,MT,81.305,$234.48,GREEN,08/22/1901
60,Madge,Hogan,22,Doop Path,Ojefnuk,MN,83.192,$4143.16,WHITE,01/29/1974
61,Barbara,Reese,18,Muni Street,Jisecle,PA,19.509,$9329.25,BLUE,03/12/1998
62,Lucile,Garcia,63,Danloh Boulevard,Zeibosis,RI,49.572,$5157.86,RED,07/08/1946
63,Viola,Swanson,59,Pidham Pass,Dusajda,UT,89.740,$6101.45,BLUE,02/20/1973
64,Kathryn,McCarthy,19,Fouv Park,Itemotde,MA,80.028,$8899.49,GREEN,01/04/2000
65,Manuel,Love,19,Zioc Terrace,Ripkinijo,NH,91.205,$1667.37,GREEN,03/26/1968
66,Peter,Parks,59,Fona Loop,Ricinivev,WY,77.692,$4940.06,WHITE,08/15/2059
67,Hulda,McBride,19,Hokola Turnpike,Guwodiha,NJ,93.696,$8061.27,YELLOW,02/11/2011
68,Inez,Burns,37,Kecum Terrace,Etfifgac,MI,31.759,$9307.12,YELLOW,02/08/1999
69,Minerva,Holloway,65,Vaku Highway,Zoawuof,RI,47.274,$2372.09,BLUE,09/15/1942
70,Callie,Hudson,32,Rompi Avenue,Povwulmuk,TN,16.424,$9312.37,WHITE,01/04/1943
71,Danny,Craig,32,Pirju Loop,Waolouv,LA,21.060,$9093.98,BLUE,08/10/2011
