1,Katharine,Marsh,31,Tuhan Glen,Gudiwfa,AK,39645,$9698.54,GREEN,02/05/1955
2,Glenn,Kelley,54,Jovu Avenue,Rerpetjev,NH,42408,$2371.64,GREEN,04/08/2038
3,Nelle,Briggs,40,Iwoke View,Dardocret,RI,9789,$3092.06,WHITE,06/10/2036
4,Alan,Briggs,40,Nahcu Highway,Jehatapo,NC,83.276,$1175.35,GREEN,04/05/2022
5,Jose,Sharp,18,Taral Junction,Robiwco,HI,15.449,$3273.58,GREEN,07/20/1942
6,Lily,Holloway,35,Bapfe Mill,Gepefeka,OR,68.346,$6702.15,WHITE,11/11/2017
7,Seth,Bowers,49,Lizez Avenue,Tarotlez,RI,96.243,$9685.84,YELLOW,08/24/1989
8,George,Harper,47,Bereh Park,Jiiwuvo,MO,45.439,$9498.31,GREEN,02/08/2035
9,Tommy,Fletcher,35,Ceti View,Daragma,WA,20.275,$9577.58,RED,05/09/2009
10,Linnie,Stanley,48,Vopof Terrace,Zeslolbin,UT,10.035,$1064.85,GREEN,04/26/1932
